Clf,Score
"Clf MultNeg ""age""",-3.238999999999999
"Clf Invertion ""plas""",0.7610000000000017
"Clf MultNeg ""plas""",1.7609999999999992
"Clf Ordernation_Up ""age""",2.7609999999999966
"Clf Ordernation_Up ""plas""",3.7609999999999943
"Clf Std ""age""",3.7610000000000006
"Clf Invertion ""age""",8.761000000000001
"Clf Zeros ""age""",19.761
"Clf MultNeg ""preg""",20.761
"Clf Binning ""plas""",21.761000000000006
"Clf Zeros ""plas""",21.761000000000006
"Clf Std ""plas""",21.761000000000006
"Clf Ordernation_Up ""mass""",21.761000000000013
"Clf Invertion ""mass""",22.761000000000006
"Clf MultNeg ""mass""",25.761000000000013
"Clf Binning ""age""",26.761000000000006
"Clf Invertion ""preg""",28.761000000000013
"Clf Binning ""mass""",30.761000000000013
"Clf Zeros ""mass""",30.761000000000013
"Clf Std ""mass""",30.761000000000013
"Clf Binning ""preg""",31.761000000000013
"Clf Zeros ""preg""",31.761000000000013
"Clf Ordernation_Up ""preg""",31.761000000000013
"Clf Std ""preg""",31.761000000000013
"Clf Zscore ""plas""",41.76099999999999
Clf original data,142.76491328800077
"Clf MultNeg ""pres""",142.76491328800077
"Clf MultNeg ""skin""",142.76491328800077
"Clf MultNeg ""insu""",142.76491328800077
"Clf MultNeg ""pedi""",142.76491328800077
"Clf Binning ""pres""",142.76491328800077
"Clf Binning ""skin""",142.76491328800077
"Clf Binning ""insu""",142.76491328800077
"Clf Binning ""pedi""",142.76491328800077
"Clf Zeros ""pres""",142.76491328800077
"Clf Zeros ""skin""",142.76491328800077
"Clf Zeros ""insu""",142.76491328800077
"Clf Zeros ""pedi""",142.76491328800077
"Clf Ordernation_Up ""pres""",142.76491328800077
"Clf Ordernation_Up ""skin""",142.76491328800077
"Clf Ordernation_Up ""insu""",142.76491328800077
"Clf Ordernation_Up ""pedi""",142.76491328800077
"Clf Invertion ""pres""",142.76491328800077
"Clf Invertion ""skin""",142.76491328800077
"Clf Invertion ""insu""",142.76491328800077
"Clf Invertion ""pedi""",142.76491328800077
"Clf Std ""pres""",142.76491328800077
"Clf Std ""skin""",142.76491328800077
"Clf Std ""insu""",142.76491328800077
"Clf Std ""pedi""",142.76491328800077
"Clf Zscore ""preg""",142.76491328800077
"Clf Zscore ""pres""",142.76491328800077
"Clf Zscore ""skin""",142.76491328800077
"Clf Zscore ""insu""",142.76491328800077
"Clf Zscore ""mass""",142.76491328800077
"Clf Zscore ""pedi""",142.76491328800077
"Clf Zscore ""age""",143.0
