Clf,Score
"Clf MultNeg ""start""",-28.375000000000025
"Clf Invertion ""start""",-25.375000000000014
"Clf Ordernation_Up ""start""",-13.375000000000021
"Clf Binning ""start""",-3.3749999999999933
"Clf Zeros ""start""",-3.3749999999999933
"Clf Std ""start""",-3.3749999999999933
"Clf Zscore ""start""",-3.3749999999999933
Clf original data,134.67828874330542
"Clf MultNeg ""id""",134.67828874330542
"Clf MultNeg ""end""",134.67828874330542
"Clf MultNeg ""event""",134.67828874330542
"Clf MultNeg ""size""",134.67828874330542
"Clf Binning ""id""",134.67828874330542
"Clf Binning ""end""",134.67828874330542
"Clf Binning ""event""",134.67828874330542
"Clf Binning ""size""",134.67828874330542
"Clf Zeros ""id""",134.67828874330542
"Clf Zeros ""end""",134.67828874330542
"Clf Zeros ""event""",134.67828874330542
"Clf Zeros ""size""",134.67828874330542
"Clf Ordernation_Up ""id""",134.67828874330542
"Clf Ordernation_Up ""end""",134.67828874330542
"Clf Ordernation_Up ""event""",134.67828874330542
"Clf Ordernation_Up ""size""",134.67828874330542
"Clf Invertion ""id""",134.67828874330542
"Clf Invertion ""end""",134.67828874330542
"Clf Invertion ""event""",134.67828874330542
"Clf Invertion ""size""",134.67828874330542
"Clf Std ""id""",134.67828874330542
"Clf Std ""end""",134.67828874330542
"Clf Std ""event""",134.67828874330542
"Clf Std ""size""",134.67828874330542
"Clf Zscore ""id""",134.67828874330542
"Clf Zscore ""end""",134.67828874330542
"Clf Zscore ""event""",134.67828874330542
"Clf Zscore ""size""",134.67828874330542
