Clf,Theta
Clf original data,549218500.5
"Clf MultNeg ""preg""",549218500.5
"Clf MultNeg ""plas""",1464582634.3858843
"Clf MultNeg ""pres""",549218500.5
"Clf MultNeg ""skin""",549218500.5
"Clf MultNeg ""insu""",549218500.5
"Clf MultNeg ""mass""",549218500.5
"Clf MultNeg ""pedi""",549218500.5
"Clf MultNeg ""age""",1464582634.3858843
"Clf Binning ""preg""",549218500.5
"Clf Binning ""plas""",1464582634.3858843
"Clf Binning ""pres""",549218500.5
"Clf Binning ""skin""",549218500.5
"Clf Binning ""insu""",549218500.5
"Clf Binning ""mass""",549218500.5
"Clf Binning ""pedi""",549218500.5
"Clf Binning ""age""",549218500.5
"Clf Zeros ""preg""",549218500.5
"Clf Zeros ""plas""",1464582634.3858843
"Clf Zeros ""pres""",549218500.5
"Clf Zeros ""skin""",549218500.5
"Clf Zeros ""insu""",549218500.5
"Clf Zeros ""mass""",549218500.5
"Clf Zeros ""pedi""",549218500.5
"Clf Zeros ""age""",1464582634.3858843
"Clf Ordernation_Up ""preg""",549218500.5
"Clf Ordernation_Up ""plas""",1464582634.3858843
"Clf Ordernation_Up ""pres""",549218500.5
"Clf Ordernation_Up ""skin""",549218500.5
"Clf Ordernation_Up ""insu""",549218500.5
"Clf Ordernation_Up ""mass""",549218500.5
"Clf Ordernation_Up ""pedi""",549218500.5
"Clf Ordernation_Up ""age""",1464582634.3858843
"Clf Invertion ""preg""",549218500.5
"Clf Invertion ""plas""",1464582634.3858843
"Clf Invertion ""pres""",549218500.5
"Clf Invertion ""skin""",549218500.5
"Clf Invertion ""insu""",549218500.5
"Clf Invertion ""mass""",549218500.5
"Clf Invertion ""pedi""",549218500.5
"Clf Invertion ""age""",1464582634.3858843
"Clf Std ""preg""",549218500.5
"Clf Std ""plas""",1464582634.3858843
"Clf Std ""pres""",549218500.5
"Clf Std ""skin""",549218500.5
"Clf Std ""insu""",549218500.5
"Clf Std ""mass""",549218500.5
"Clf Std ""pedi""",549218500.5
"Clf Std ""age""",1464582634.3858843
"Clf Zscore ""preg""",549218500.5
"Clf Zscore ""plas""",1464582634.3858843
"Clf Zscore ""pres""",549218500.5
"Clf Zscore ""skin""",549218500.5
"Clf Zscore ""insu""",549218500.5
"Clf Zscore ""mass""",549218500.5
"Clf Zscore ""pedi""",549218500.5
"Clf Zscore ""age""",549218500.5
