Unnamed: 0,Discriminacao,Dificuldade,Adivinhacao
V0,2.273,-1.39,0.086
V1,4.616,-0.727,0.096
V2,0.0,59630888.735,0.05
V3,6.605,-0.111,0.436
V4,4.617,-0.727,0.096
V5,0.0,59630745.376,0.05
V6,0.0,59630602.017,0.051
V7,0.0,59630458.659,0.051
V8,4.782,-1.011,0.137
V9,4.448,-0.602,0.066
V10,4.617,-0.727,0.096
V11,0.0,59630315.302,0.052
V12,0.0,59630171.946,0.052
V13,9.435,-0.185,0.25
V14,6.702,-0.248,0.383
V15,9.274,-0.102,0.235
V16,2.273,-1.39,0.086
V17,6.608,-0.11,0.436
V18,6.611,-0.11,0.436
V19,9.434,-0.185,0.25
V20,3.172,-1.229,0.072
V21,0.475,-4.628,0.174
V22,4.618,-0.727,0.097
V23,0.0,59630028.59,0.053
V24,9.053,-0.101,0.238
V25,9.433,-0.185,0.25
V26,2.273,-1.39,0.087
V27,2.273,-1.39,0.087
V28,0.0,59629885.235,0.053
V29,4.408,-1.608,0.064
V30,7.638,0.014,0.483
V31,9.432,-0.185,0.25
V32,4.774,-1.011,0.138
V33,4.619,-0.727,0.097
V34,0.0,59629741.88,0.053
V35,0.0,59629598.526,0.054
V36,4.769,-1.011,0.139
V37,0.0,59629455.173,0.054
V38,4.767,-1.011,0.139
V39,0.0,59629311.821,0.055
V40,4.62,-0.726,0.097
V41,0.0,59629168.469,0.055
V42,0.0,59629025.118,0.056
V43,3.612,-0.859,0.077
V44,4.762,-1.01,0.14
V45,9.43,-0.185,0.25
V46,2.27,-1.052,0.097
V47,6.705,-0.248,0.384
V48,1.266,-0.744,0.278
V49,4.621,-0.726,0.097
V50,3.172,-1.229,0.072
V51,0.0,59628881.767,0.056
V52,9.052,-0.101,0.238
V53,0.0,59628738.418,0.057
V54,4.333,0.414,0.623
V55,2.023,-0.851,0.12
V56,3.612,-0.859,0.077
V57,10.174,-0.336,0.263
V58,2.285,-1.041,0.096
V59,2.273,-1.39,0.088
V60,0.0,59628595.069,0.057
V61,4.621,-0.726,0.097
V62,2.273,-1.389,0.088
V63,2.273,-1.389,0.088
V64,0.0,59628451.72,0.057
V65,4.755,-1.01,0.141
V66,0.0,59628308.373,0.058
V67,4.622,-0.726,0.098
V68,4.75,-1.009,0.141
V69,10.173,-0.336,0.263
V70,0.0,59628165.026,0.058
V71,4.35,0.416,0.624
V72,0.0,59628021.68,0.059
V73,0.0,59627878.334,0.059
V74,0.0,59627734.989,0.06
V75,4.748,-1.009,0.141
V76,10.172,-0.336,0.263
V77,4.367,0.417,0.624
V78,4.745,-1.009,0.142
V79,4.407,-1.608,0.064
V80,0.831,-4.132,0.088
V81,2.273,-1.389,0.089
V82,0.0,59627591.645,0.06
V83,0.0,59627448.302,0.06
V84,4.743,-1.009,0.142
V85,10.17,-0.336,0.263
V86,1.645,-0.973,0.184
V87,0.0,59627304.959,0.061
V88,0.0,59627161.617,0.061
V89,4.624,-0.725,0.098
V90,10.169,-0.336,0.263
V91,6.811,-0.246,0.38
V92,0.0,59627018.275,0.062
V93,9.768,-0.184,0.246
V94,0.475,-3.609,0.18
V95,4.625,-0.725,0.098
V96,4.385,0.418,0.625
V97,0.831,-4.131,0.088
V98,4.402,0.419,0.626
V99,4.736,-1.008,0.143
V100,4.407,-1.608,0.064
V101,2.273,-1.389,0.089
V102,3.172,-1.229,0.072
V103,4.734,-1.008,0.143
V104,6.814,-0.246,0.38
V105,0.0,59626874.934,0.062
V106,0.0,59626731.594,0.063
V107,10.168,-0.336,0.263
V108,0.0,59626588.255,0.063
V109,9.379,-0.181,0.253
V110,0.472,-3.623,0.181
V111,4.419,0.42,0.626
V112,10.167,-0.336,0.263
V113,10.166,-0.335,0.263
V114,10.165,-0.335,0.263
V115,0.0,59626444.916,0.063
V116,2.27,-1.051,0.098
V117,4.626,-0.725,0.098
V118,4.627,-0.725,0.098
V119,1.703,1.593,0.794
V120,0.0,59626301.578,0.064
V121,4.437,0.421,0.627
V122,9.497,-0.102,0.235
V123,4.627,-0.725,0.098
V124,4.407,-1.608,0.065
V125,4.407,-1.608,0.065
V126,7.37,-0.423,0.335
V127,4.726,-1.007,0.144
V128,9.378,-0.181,0.253
V129,4.724,-1.007,0.144
V130,4.722,-1.007,0.145
V131,4.72,-1.007,0.145
V132,3.611,-0.859,0.078
V133,4.454,0.422,0.628
V134,3.61,-0.859,0.078
V135,9.376,-0.181,0.253
V136,0.0,59626158.241,0.064
V137,0.0,59626014.905,0.065
V138,0.0,59625871.569,0.065
V139,7.377,-0.423,0.336
V140,2.271,-1.051,0.098
V141,10.164,-0.335,0.264
V142,4.448,-0.602,0.067
V143,2.024,-0.85,0.121
V144,7.384,-0.423,0.336
V145,2.272,-1.05,0.098
V146,0.0,59625728.233,0.066
V147,0.0,59625584.899,0.066
