Unnamed: 0,Discriminacao,Dificuldade,Adivinhacao
V0,0.571,-4.709,0.042
V1,0.0,391575295.345,0.05
V2,-9.971,-0.944,0.46
V3,0.696,-3.024,0.041
V4,-5.879,2.736,0.054
V5,9.019,1.124,0.529
V6,0.952,-3.453,0.033
V7,-0.019,-22.22,0.192
V8,0.026,-149.892,0.101
V9,-6.628,2.328,0.31
V10,0.576,-7.083,0.112
V11,-1.581,0.48,0.002
V12,-0.032,98.494,0.11
V13,-4.521,3.164,0.146
V14,0.411,-6.305,0.065
V15,-4.52,3.164,0.147
V16,-1.284,3.038,0.039
V17,0.576,-7.081,0.112
V18,-0.805,3.75,0.221
V19,-4.518,3.164,0.147
V20,0.0,391574983.837,0.05
V21,0.0,391574672.33,0.051
V22,0.0,391574360.823,0.051
V23,-0.484,1.985,0.055
V24,0.0,391574049.317,0.052
V25,0.063,-6.834,0.105
V26,0.188,-4.501,0.124
V27,0.3,-1.893,0.18
V28,0.0,391573737.811,0.052
V29,-0.613,4.955,0.093
V30,1.112,-2.777,0.032
V31,6.577,-2.425,0.019
V32,0.0,391573426.305,0.053
V33,-2.641,0.001,0.336
V34,0.0,391573114.8,0.053
V35,0.0,391572803.296,0.053
V36,0.0,391572491.792,0.054
V37,0.0,391572180.288,0.054
V38,-1.203,4.154,0.118
V39,-11.762,-0.025,0.482
V40,0.0,391571868.785,0.055
V41,6.577,-2.425,0.019
V42,0.029,-111.792,0.104
V43,0.025,-157.123,0.104
V44,-4.517,3.164,0.147
V45,0.0,391571557.283,0.055
V46,-1.203,4.153,0.119
V47,-2.729,1.28,0.002
V48,0.0,391571245.781,0.056
V49,0.0,391570934.28,0.056
V50,0.0,391570622.779,0.057
V51,-0.456,3.648,0.104
V52,-6.579,0.042,0.349
V53,0.618,-2.396,0.043
V54,-29.832,0.351,0.619
V55,0.0,391570311.278,0.057
V56,0.0,391569999.778,0.057
V57,-2.735,0.24,0.361
V58,0.0,391569688.279,0.058
V59,0.0,391569376.78,0.058
V60,0.0,391569065.281,0.059
V61,0.0,391568753.783,0.059
V62,-10.294,-1.159,0.221
V63,0.0,391568442.286,0.06
V64,-0.66,2.993,0.046
V65,0.0,391568130.789,0.06
V66,0.0,391567819.292,0.06
V67,-14.056,1.092,0.168
V68,0.0,391567507.796,0.061
V69,0.0,391567196.301,0.061
V70,-5.015,-0.685,0.559
V71,-1.434,2.521,0.074
V72,0.0,391566884.806,0.062
V73,0.029,-111.771,0.105
V74,0.0,391566573.311,0.062
V75,-5.874,2.736,0.054
V76,-1.676,3.013,0.148
V77,-5.873,2.736,0.054
V78,0.0,391566261.817,0.063
V79,-0.465,2.832,0.151
V80,0.0,391565950.323,0.063
V81,0.0,391565638.83,0.063
V82,0.0,391565327.338,0.064
V83,0.0,391565015.846,0.064
V84,0.0,391564704.354,0.065
V85,-3.162,1.219,0.236
V86,0.0,391564392.863,0.065
V87,-0.617,4.907,0.104
V88,-1.22,1.255,0.178
V89,-1.204,4.152,0.12
V90,-10.795,0.902,0.002
V91,-1.06,3.758,0.093
V92,0.0,391564081.373,0.066
V93,0.422,-0.225,0.148
V94,-2.018,0.801,0.003
V95,0.0,391563769.883,0.066
V96,-25.986,0.411,0.51
V97,0.0,391563458.393,0.067
V98,-0.705,3.932,0.109
V99,0.0,391563146.904,0.067
V100,0.0,391562835.415,0.067
V101,0.0,391562523.927,0.068
V102,-0.605,0.87,0.014
V103,0.0,391562212.44,0.068
V104,-1.204,4.15,0.121
V105,0.0,391561900.953,0.069
V106,0.0,391561589.466,0.069
V107,0.0,391561277.98,0.07
V108,0.0,391560966.494,0.07
V109,0.307,-5.667,0.087
V110,0.023,-118.381,0.113
V111,-0.313,9.02,0.118
V112,-0.61,4.458,0.094
V113,-0.09,13.805,0.143
V114,-12.584,-0.352,0.501
V115,0.0,391560655.009,0.07
V116,0.0,391560343.524,0.071
V117,-4.336,1.722,0.594
V118,0.0,391560032.04,0.071
V119,-3.998,1.088,0.251
V120,0.0,391559720.557,0.072
V121,-0.013,3.379,0.21
V122,-5.872,2.736,0.054
V123,-4.511,3.164,0.149
