Unnamed: 0,Discriminacao,Dificuldade,Adivinhacao
V0,3.815,-0.573,0.002
V1,3.633,-0.471,0.002
V2,2.457,-0.64,0.015
V3,1.542,-2.162,0.012
V4,2.867,-4.982,0.026
V5,3.822,-0.573,0.001
V6,0.05,-25.12,0.123
V7,2.28,-1.642,0.006
V8,3.132,-0.972,0.005
V9,1.425,-1.594,0.007
V10,2.28,-1.642,0.006
V11,0.025,-87.978,0.109
V12,7.856,-1.491,0.004
V13,0.854,-3.54,0.024
V14,9.12,0.314,0.001
V15,0.026,-86.368,0.101
V16,0.07,-12.576,0.318
V17,7.607,-1.215,0.001
V18,19.79,-0.377,0.398
V19,1.585,-1.683,0.007
V20,19.414,-0.383,0.399
V21,0.724,-3.529,0.028
V22,2.282,-1.642,0.006
V23,7.608,-1.215,0.001
V24,11.299,-0.227,0.0
V25,2.28,-1.642,0.006
V26,1.242,-3.185,0.02
V27,15.197,-0.414,0.0
V28,5.444,-2.865,0.008
V29,1.047,-3.554,0.021
V30,0.056,-22.189,0.127
V31,1.68,-0.391,0.001
V32,11.169,-0.947,0.0
V33,1.011,-2.608,0.113
V34,19.046,-0.389,0.4
V35,15.707,-0.006,0.108
V36,18.715,-0.394,0.401
V37,-10.52,-0.512,0.51
V38,15.258,-0.13,0.404
V39,2.841,-4.971,0.026
V40,7.856,-1.491,0.004
V41,-0.029,26.897,0.173
V42,0.028,-52.494,0.121
V43,10.448,-1.703,0.001
V44,5.45,-2.865,0.008
V45,11.307,-0.227,0.0
V46,10.615,-0.228,0.111
V47,2.908,-0.016,0.648
V48,0.716,-5.424,0.034
V49,5.453,-2.865,0.008
V50,7.623,-1.216,0.001
V51,7.856,-1.491,0.004
V52,20.582,-0.001,0.0
V53,10.447,-1.703,0.001
V54,9.781,1.006,0.646
V55,7.627,-1.216,0.001
V56,11.184,-0.947,0.0
V57,0.49,-2.984,0.069
V58,1.047,-3.555,0.021
V59,0.004,-495.446,0.11
V60,5.458,-2.865,0.008
V61,2.816,-4.962,0.025
V62,0.716,-5.425,0.034
V63,2.716,-0.12,0.0
V64,0.551,-5.714,0.043
V65,7.633,-1.216,0.001
V66,0.716,-5.425,0.034
V67,11.474,-0.223,0.001
V68,7.634,-1.216,0.001
V69,10.446,-1.703,0.001
