,Discriminacao,Dificuldade,Adivinhacao
V0,8.308,-0.772,0.424
V1,1.139,-3.634,0.109
V2,17.182,0.326,0.671
V3,14.652,-0.472,0.429
V4,0.326,-11.813,0.108
V5,10.73,-0.627,0.571
V6,8.372,-0.412,0.781
V7,0.0,-24672968.718,0.05
V8,1.163,-2.941,0.115
V9,14.906,-1.365,0.122
V10,0.0,-24673142.476,0.05
V11,10.742,-0.627,0.571
V12,10.755,-0.628,0.571
V13,0.0,-24673316.237,0.051
V14,10.769,-0.628,0.571
V15,0.0,-24673490.0,0.051
V16,14.908,-1.365,0.122
V17,0.0,-24673663.766,0.052
V18,0.0,-24673837.534,0.052
V19,0.0,-24674011.305,0.053
V20,2.023,-2.025,0.18
V21,0.0,-24674185.078,0.053
V22,0.0,-24674358.853,0.053
V23,0.0,-24674532.631,0.054
V24,10.785,-0.628,0.57
V25,12.409,-0.564,0.435
V26,0.0,-24674706.411,0.054
V27,0.0,-24674880.194,0.055
V28,11.205,-1.506,0.131
V29,8.331,-0.772,0.424
V30,0.0,-24675053.979,0.055
V31,14.519,-0.471,0.429
V32,11.061,-1.43,0.109
V33,7.655,-1.58,0.094
V34,7.655,-1.58,0.094
V35,0.0,-24675227.767,0.056
V36,8.369,-0.402,0.779
V37,0.0,-24675401.557,0.056
V38,0.0,-24675575.35,0.057
V39,2.025,-2.021,0.181
V40,1.139,-3.629,0.113
V41,0.326,-11.812,0.108
V42,0.0,-24675749.145,0.057
V43,0.326,-11.847,0.098
V44,0.0,-24675922.942,0.057
V45,14.52,-0.471,0.429
V46,11.335,-1.364,0.128
V47,1.163,-2.941,0.115
V48,0.326,-11.845,0.098
V49,0.0,-24676096.742,0.058
V50,0.0,-24676270.545,0.058
V51,11.205,-1.505,0.131
V52,1.139,-3.629,0.113
V53,4.757,-1.016,0.483
V54,8.354,-0.772,0.424
V55,0.0,-24676444.35,0.059
V56,1.26,-2.634,0.124
V57,0.326,-11.81,0.109
V58,8.377,-0.771,0.424
V59,0.0,-24676618.157,0.059
V60,1.139,-3.634,0.109
V61,0.0,-24676791.967,0.06
V62,1.982,-2.073,0.157
V63,0.326,-11.808,0.109
V64,10.802,-0.628,0.57
V65,0.0,-24676965.779,0.06
V66,2.027,-2.018,0.182
V67,0.0,-24677139.594,0.06
V68,0.0,-24677313.411,0.061
V69,0.0,-24677487.23,0.061
V70,0.0,-24677661.052,0.062
V71,0.0,-24677834.877,0.062
V72,12.601,-1.37,0.11
V73,14.521,-0.472,0.429
V74,7.655,-1.58,0.095
V75,0.326,-11.806,0.11
V76,11.061,-1.43,0.109
V77,11.206,-1.505,0.132
V78,11.06,-1.43,0.11
V79,0.0,-24678008.703,0.063
V80,10.82,-0.628,0.57
V81,0.326,-11.804,0.11
V82,0.0,-24678182.533,0.063
V83,0.0,-24678356.365,0.063
V84,1.139,-3.628,0.114
V85,3.043,-1.363,0.338
V86,8.4,-0.771,0.424
V87,1.911,-2.167,0.166
V88,2.504,-0.949,0.69
V89,0.0,-24678530.199,0.064
