Metodo,Acuracia
Clf original data,1.0
"Clf MultNeg ""preg""",0.935064935064935
"Clf MultNeg ""plas""",0.6363636363636364
"Clf MultNeg ""pres""",1.0
"Clf MultNeg ""skin""",1.0
"Clf MultNeg ""insu""",0.9393939393939394
"Clf MultNeg ""mass""",0.9264069264069265
"Clf MultNeg ""pedi""",0.9523809523809523
"Clf MultNeg ""age""",0.935064935064935
"Clf Binning ""preg""",0.9567099567099567
"Clf Binning ""plas""",0.8917748917748918
"Clf Binning ""pres""",1.0
"Clf Binning ""skin""",1.0
"Clf Binning ""insu""",0.9913419913419913
"Clf Binning ""mass""",0.9696969696969697
"Clf Binning ""pedi""",0.9826839826839827
"Clf Binning ""age""",0.9826839826839827
"Clf Zeros ""preg""",0.9567099567099567
"Clf Zeros ""plas""",0.8138528138528138
"Clf Zeros ""pres""",1.0
"Clf Zeros ""skin""",1.0
"Clf Zeros ""insu""",0.9956709956709957
"Clf Zeros ""mass""",0.9696969696969697
"Clf Zeros ""pedi""",0.9653679653679653
"Clf Zeros ""age""",0.9826839826839827
"Clf Ordernation_Up ""preg""",0.9437229437229437
"Clf Ordernation_Up ""plas""",0.7359307359307359
"Clf Ordernation_Up ""pres""",1.0
"Clf Ordernation_Up ""skin""",1.0
"Clf Ordernation_Up ""insu""",0.9696969696969697
"Clf Ordernation_Up ""mass""",0.948051948051948
"Clf Ordernation_Up ""pedi""",0.9696969696969697
"Clf Ordernation_Up ""age""",0.9567099567099567
"Clf Invertion ""preg""",0.935064935064935
"Clf Invertion ""plas""",0.7402597402597403
"Clf Invertion ""pres""",1.0
"Clf Invertion ""skin""",1.0
"Clf Invertion ""insu""",0.9826839826839827
"Clf Invertion ""mass""",0.9523809523809523
"Clf Invertion ""pedi""",0.9523809523809523
"Clf Invertion ""age""",0.948051948051948
"Clf Std ""preg""",0.9437229437229437
"Clf Std ""plas""",0.8138528138528138
"Clf Std ""pres""",1.0
"Clf Std ""skin""",1.0
"Clf Std ""insu""",0.9307359307359307
"Clf Std ""mass""",0.9696969696969697
"Clf Std ""pedi""",0.974025974025974
"Clf Std ""age""",0.9783549783549783
"Clf Zscore ""preg""",1.0
"Clf Zscore ""plas""",0.9913419913419913
"Clf Zscore ""pres""",1.0
"Clf Zscore ""skin""",1.0
"Clf Zscore ""insu""",0.9956709956709957
"Clf Zscore ""mass""",0.9956709956709957
"Clf Zscore ""pedi""",0.987012987012987
"Clf Zscore ""age""",0.9956709956709957
