Clf,Score
"Clf MultNeg ""V1""",-177.091
"Clf Std ""V1""",-101.091
"Clf Invertion ""V1""",-88.09100000000001
"Clf Ordernation_Up ""V1""",-76.09099999999995
"Clf Std ""V2""",215.0
"Clf MultNeg ""V2""",228.0
"Clf Ordernation_Up ""V2""",264.0
"Clf Zeros ""V1""",265.0
"Clf Invertion ""V2""",279.0
"Clf Zeros ""V2""",288.0
"Clf Binning ""V2""",331.0
"Clf Binning ""V1""",337.0
"Clf Ordernation_Up ""V3""",348.0
"Clf MultNeg ""V3""",352.0
"Clf Invertion ""V3""",354.0
Clf original data,364.7760892318219
"Clf MultNeg ""V4""",364.7760892318219
"Clf Binning ""V4""",364.7760892318219
"Clf Zeros ""V4""",364.7760892318219
"Clf Ordernation_Up ""V4""",364.7760892318219
"Clf Invertion ""V4""",364.7760892318219
"Clf Std ""V4""",364.7760892318219
"Clf Zscore ""V2""",364.7760892318219
"Clf Zscore ""V4""",364.7760892318219
"Clf Binning ""V3""",366.0
"Clf Zeros ""V3""",366.0
"Clf Std ""V3""",366.0
"Clf Zscore ""V1""",366.0
"Clf Zscore ""V3""",366.0
