Clf,Score
"Clf MultNeg ""V1""",-149.02399999999977
"Clf Std ""V1""",-73.02400000000002
"Clf Std ""V2""",227.55700000000002
"Clf Invertion ""V1""",231.55700000000002
"Clf Ordernation_Up ""V1""",245.55699999999996
"Clf MultNeg ""V2""",252.557
"Clf Ordernation_Up ""V2""",285.5569999999999
"Clf Zeros ""V1""",289.55699999999996
"Clf Invertion ""V2""",302.5569999999999
"Clf Zeros ""V2""",312.5569999999999
"Clf Binning ""V2""",346.55699999999996
"Clf Binning ""V1""",361.55699999999996
"Clf Ordernation_Up ""V3""",362.55699999999996
"Clf MultNeg ""V3""",364.55699999999996
"Clf Invertion ""V3""",368.55699999999996
"Clf Binning ""V3""",378.55699999999996
"Clf Zeros ""V3""",378.55699999999996
"Clf Std ""V3""",378.55699999999996
Clf original data,385.7517437487642
"Clf MultNeg ""V4""",385.7517437487642
"Clf Binning ""V4""",385.7517437487642
"Clf Zeros ""V4""",385.7517437487642
"Clf Ordernation_Up ""V4""",385.7517437487642
"Clf Invertion ""V4""",385.7517437487642
"Clf Std ""V4""",385.7517437487642
"Clf Zscore ""V2""",385.7517437487642
"Clf Zscore ""V4""",385.7517437487642
"Clf Zscore ""V1""",390.55699999999996
"Clf Zscore ""V3""",390.55699999999996
