Clf,Theta
Clf original data,1.283
"Clf MultNeg ""V1""",-117363554.52401091
"Clf MultNeg ""V2""",128995032.77401021
"Clf MultNeg ""V3""",128995032.77401021
"Clf MultNeg ""V4""",1.283
"Clf Binning ""V1""",128995032.77401021
"Clf Binning ""V2""",128995032.77401021
"Clf Binning ""V3""",128995032.77401021
"Clf Binning ""V4""",1.283
"Clf Zeros ""V1""",128995032.77401021
"Clf Zeros ""V2""",128995032.77401021
"Clf Zeros ""V3""",128995032.77401021
"Clf Zeros ""V4""",1.283
"Clf Ordernation_Up ""V1""",128995032.77401021
"Clf Ordernation_Up ""V2""",128995032.77401021
"Clf Ordernation_Up ""V3""",128995032.77401021
"Clf Ordernation_Up ""V4""",1.283
"Clf Invertion ""V1""",128995032.77401021
"Clf Invertion ""V2""",128995032.77401021
"Clf Invertion ""V3""",128995032.77401021
"Clf Invertion ""V4""",1.283
"Clf Std ""V1""",-117363554.52401091
"Clf Std ""V2""",128995032.77401021
"Clf Std ""V3""",128995032.77401021
"Clf Std ""V4""",1.283
"Clf Zscore ""V1""",128995032.77401021
"Clf Zscore ""V2""",1.283
"Clf Zscore ""V3""",128995032.77401021
"Clf Zscore ""V4""",1.283
