,Discriminacao,Dificuldade,Adivinhacao
V0,3.184,1.144,0.809
V1,17.601,-1.358,0.0
V2,15.531,-1.358,0.001
V3,15.891,-1.29,0.0
V4,0.7,-3.087,0.322
V5,0.946,-1.636,0.038
V6,0.488,-6.788,0.101
V7,0.75,-1.331,0.11
V8,-0.512,0.104,0.589
V9,0.487,-6.799,0.101
V10,27.5,0.36,0.535
V11,15.53,-1.358,0.001
V12,15.528,-1.358,0.001
V13,1.292,-1.442,0.002
V14,1.069,-1.931,0.002
V15,0.748,-1.406,0.092
V16,0.487,-6.81,0.102
V17,15.891,-1.29,0.0
V18,0.486,-6.821,0.102
V19,15.527,-1.358,0.001
V20,26.862,-1.626,0.0
V21,27.541,0.359,0.535
V22,17.604,-1.358,0.0
V23,0.813,-2.293,0.025
V24,1.292,-1.442,0.002
V25,0.946,-1.636,0.038
V26,0.485,-6.832,0.103
V27,11.871,-1.451,0.001
V28,13.764,1.006,0.714
V29,17.606,-1.358,0.0
V30,2.458,-1.213,0.001
V31,0.28,-8.416,0.132
V32,27.581,0.357,0.535
V33,15.999,0.317,0.624
V34,27.621,0.356,0.535
V35,0.277,-8.504,0.133
V36,8.232,-0.25,0.816
V37,0.706,-3.048,0.326
V38,15.89,-1.29,0.0
V39,11.869,-1.451,0.001
V40,0.947,-1.636,0.038
V41,16.386,0.328,0.62
V42,19.177,-1.418,0.0
V43,26.834,-1.626,0.0
V44,0.814,-2.29,0.025
V45,0.947,-1.635,0.038
V46,1.231,-1.145,0.001
V47,10.964,0.252,0.638
V48,0.274,-8.596,0.133
V49,0.751,-1.4,0.092
V50,3.853,1.566,0.646
V51,0.0,-383779100.0,0.05
V52,1.232,-1.467,0.001
V53,0.0,-383878500.0,0.05
V54,0.947,-1.635,0.038
V55,0.271,-8.691,0.134
V56,10.969,0.253,0.638
V57,0.268,-8.791,0.135
V58,0.0,-383978000.0,0.05
V59,0.816,-2.286,0.025
V60,10.974,0.254,0.637
V61,0.947,-1.634,0.038
V62,11.868,-1.451,0.001
V63,10.98,0.255,0.637
V64,0.917,-2.128,0.042
V65,19.171,-1.418,0.0
V66,1.555,-1.049,0.001
V67,0.0,-384077400.0,0.051
V68,0.0,-384177000.0,0.051
V69,17.734,-1.129,0.463
V70,2.419,-1.212,0.001
V71,26.82,-1.626,0.0
V72,0.817,-2.282,0.025
