Metodo,Acuracia
Clf original data,1.0
"Clf MultNeg ""V1""",0.40048543689320387
"Clf MultNeg ""V2""",0.662621359223301
"Clf MultNeg ""V3""",0.9344660194174758
"Clf MultNeg ""V4""",1.0
"Clf Binning ""V1""",0.9271844660194175
"Clf Binning ""V2""",0.8907766990291263
"Clf Binning ""V3""",0.9684466019417476
"Clf Binning ""V4""",1.0
"Clf Zeros ""V1""",0.7524271844660194
"Clf Zeros ""V2""",0.808252427184466
"Clf Zeros ""V3""",0.9684466019417476
"Clf Zeros ""V4""",1.0
"Clf Ordernation_Up ""V1""",0.6456310679611651
"Clf Ordernation_Up ""V2""",0.7427184466019418
"Clf Ordernation_Up ""V3""",0.9296116504854369
"Clf Ordernation_Up ""V4""",1.0
"Clf Invertion ""V1""",0.616504854368932
"Clf Invertion ""V2""",0.7766990291262136
"Clf Invertion ""V3""",0.9490291262135923
"Clf Invertion ""V4""",1.0
"Clf Std ""V1""",0.5849514563106796
"Clf Std ""V2""",0.6019417475728155
"Clf Std ""V3""",0.9684466019417476
"Clf Std ""V4""",1.0
"Clf Zscore ""V1""",0.9975728155339806
"Clf Zscore ""V2""",1.0
"Clf Zscore ""V3""",0.9975728155339806
"Clf Zscore ""V4""",1.0
