Clf,Score
Clf original data,161.99999999501117
"Clf MultNeg ""V1""",161.99999999501117
"Clf MultNeg ""V2""",161.99999999501117
"Clf MultNeg ""V3""",161.99999999501117
"Clf MultNeg ""V4""",161.99999999501117
"Clf MultNeg ""V5""",161.99999999501117
"Clf MultNeg ""V6""",161.99999999501117
"Clf MultNeg ""V7""",161.99999999501117
"Clf MultNeg ""V8""",161.99999999501117
"Clf MultNeg ""V9""",161.99999999501117
"Clf MultNeg ""V10""",161.99999999501117
"Clf MultNeg ""V11""",161.99999999501117
"Clf MultNeg ""V12""",161.99999999501117
"Clf MultNeg ""V13""",161.99999999501117
"Clf MultNeg ""V14""",161.99999999501117
"Clf MultNeg ""V15""",161.99999999501117
"Clf MultNeg ""V16""",161.99999999501117
"Clf MultNeg ""V17""",161.99999999501117
"Clf MultNeg ""V18""",161.99999999501117
"Clf MultNeg ""V19""",161.99999999501117
"Clf MultNeg ""V20""",161.99999999501117
"Clf Binning ""V1""",161.99999999501117
"Clf Binning ""V2""",161.99999999501117
"Clf Binning ""V3""",161.99999999501117
"Clf Binning ""V4""",161.99999999501117
"Clf Binning ""V5""",161.99999999501117
"Clf Binning ""V6""",161.99999999501117
"Clf Binning ""V7""",161.99999999501117
"Clf Binning ""V8""",161.99999999501117
"Clf Binning ""V9""",161.99999999501117
"Clf Binning ""V10""",161.99999999501117
"Clf Binning ""V11""",161.99999999501117
"Clf Binning ""V12""",161.99999999501117
"Clf Binning ""V13""",161.99999999501117
"Clf Binning ""V14""",161.99999999501117
"Clf Binning ""V15""",161.99999999501117
"Clf Binning ""V16""",161.99999999501117
"Clf Binning ""V17""",161.99999999501117
"Clf Binning ""V18""",161.99999999501117
"Clf Binning ""V19""",161.99999999501117
"Clf Binning ""V20""",161.99999999501117
"Clf Zeros ""V1""",161.99999999501117
"Clf Zeros ""V2""",161.99999999501117
"Clf Zeros ""V3""",161.99999999501117
"Clf Zeros ""V4""",161.99999999501117
"Clf Zeros ""V5""",161.99999999501117
"Clf Zeros ""V6""",161.99999999501117
"Clf Zeros ""V7""",161.99999999501117
"Clf Zeros ""V8""",161.99999999501117
"Clf Zeros ""V9""",161.99999999501117
"Clf Zeros ""V10""",161.99999999501117
"Clf Zeros ""V11""",161.99999999501117
"Clf Zeros ""V12""",161.99999999501117
"Clf Zeros ""V13""",161.99999999501117
"Clf Zeros ""V14""",161.99999999501117
"Clf Zeros ""V15""",161.99999999501117
"Clf Zeros ""V16""",161.99999999501117
"Clf Zeros ""V17""",161.99999999501117
"Clf Zeros ""V18""",161.99999999501117
"Clf Zeros ""V19""",161.99999999501117
"Clf Zeros ""V20""",161.99999999501117
"Clf Ordernation_Up ""V1""",161.99999999501117
"Clf Ordernation_Up ""V2""",161.99999999501117
"Clf Ordernation_Up ""V3""",161.99999999501117
"Clf Ordernation_Up ""V4""",161.99999999501117
"Clf Ordernation_Up ""V5""",161.99999999501117
"Clf Ordernation_Up ""V6""",161.99999999501117
"Clf Ordernation_Up ""V7""",161.99999999501117
"Clf Ordernation_Up ""V8""",161.99999999501117
"Clf Ordernation_Up ""V9""",161.99999999501117
"Clf Ordernation_Up ""V10""",161.99999999501117
"Clf Ordernation_Up ""V11""",161.99999999501117
"Clf Ordernation_Up ""V12""",161.99999999501117
"Clf Ordernation_Up ""V13""",161.99999999501117
"Clf Ordernation_Up ""V14""",161.99999999501117
"Clf Ordernation_Up ""V15""",161.99999999501117
"Clf Ordernation_Up ""V16""",161.99999999501117
"Clf Ordernation_Up ""V17""",161.99999999501117
"Clf Ordernation_Up ""V18""",161.99999999501117
"Clf Ordernation_Up ""V19""",161.99999999501117
"Clf Ordernation_Up ""V20""",161.99999999501117
"Clf Invertion ""V1""",161.99999999501117
"Clf Invertion ""V2""",161.99999999501117
"Clf Invertion ""V3""",161.99999999501117
"Clf Invertion ""V4""",161.99999999501117
"Clf Invertion ""V5""",161.99999999501117
"Clf Invertion ""V6""",161.99999999501117
"Clf Invertion ""V7""",161.99999999501117
"Clf Invertion ""V8""",161.99999999501117
"Clf Invertion ""V9""",161.99999999501117
"Clf Invertion ""V10""",161.99999999501117
"Clf Invertion ""V11""",161.99999999501117
"Clf Invertion ""V12""",161.99999999501117
"Clf Invertion ""V13""",161.99999999501117
"Clf Invertion ""V14""",161.99999999501117
"Clf Invertion ""V15""",161.99999999501117
"Clf Invertion ""V16""",161.99999999501117
"Clf Invertion ""V17""",161.99999999501117
"Clf Invertion ""V18""",161.99999999501117
"Clf Invertion ""V19""",161.99999999501117
"Clf Invertion ""V20""",161.99999999501117
"Clf Std ""V1""",161.99999999501117
"Clf Std ""V2""",161.99999999501117
"Clf Std ""V3""",161.99999999501117
"Clf Std ""V4""",161.99999999501117
"Clf Std ""V5""",161.99999999501117
"Clf Std ""V6""",161.99999999501117
"Clf Std ""V7""",161.99999999501117
"Clf Std ""V8""",161.99999999501117
"Clf Std ""V9""",161.99999999501117
"Clf Std ""V10""",161.99999999501117
"Clf Std ""V11""",161.99999999501117
