Clf,Theta
Clf original data,-0.9435
"Clf MultNeg ""V1""",-0.9435
"Clf MultNeg ""V2""",-0.9435
"Clf MultNeg ""V3""",-0.9435
"Clf MultNeg ""V4""",-0.9435
"Clf MultNeg ""V5""",-0.9435
"Clf MultNeg ""V6""",-0.9435
"Clf MultNeg ""V7""",-0.9435
"Clf MultNeg ""V8""",-0.9435
"Clf MultNeg ""V9""",-0.9435
"Clf MultNeg ""V10""",-0.9435
"Clf MultNeg ""V11""",-0.9435
"Clf MultNeg ""V12""",-0.9435
"Clf MultNeg ""V13""",-0.9435
"Clf MultNeg ""V14""",-0.9435
"Clf MultNeg ""V15""",-0.9435
"Clf MultNeg ""V16""",-0.9435
"Clf MultNeg ""V17""",-0.9435
"Clf MultNeg ""V18""",-0.9435
"Clf MultNeg ""V19""",-0.9435
"Clf MultNeg ""V20""",-0.9435
"Clf Binning ""V1""",-0.9435
"Clf Binning ""V2""",-0.9435
"Clf Binning ""V3""",-0.9435
"Clf Binning ""V4""",-0.9435
"Clf Binning ""V5""",-0.9435
"Clf Binning ""V6""",-0.9435
"Clf Binning ""V7""",-0.9435
"Clf Binning ""V8""",-0.9435
"Clf Binning ""V9""",-0.9435
"Clf Binning ""V10""",-0.9435
"Clf Binning ""V11""",-0.9435
"Clf Binning ""V12""",-0.9435
"Clf Binning ""V13""",-0.9435
"Clf Binning ""V14""",-0.9435
"Clf Binning ""V15""",-0.9435
"Clf Binning ""V16""",-0.9435
"Clf Binning ""V17""",-0.9435
"Clf Binning ""V18""",-0.9435
"Clf Binning ""V19""",-0.9435
"Clf Binning ""V20""",-0.9435
"Clf Zeros ""V1""",-0.9435
"Clf Zeros ""V2""",-0.9435
"Clf Zeros ""V3""",-0.9435
"Clf Zeros ""V4""",-0.9435
"Clf Zeros ""V5""",-0.9435
"Clf Zeros ""V6""",-0.9435
"Clf Zeros ""V7""",-0.9435
"Clf Zeros ""V8""",-0.9435
"Clf Zeros ""V9""",-0.9435
"Clf Zeros ""V10""",-0.9435
"Clf Zeros ""V11""",-0.9435
"Clf Zeros ""V12""",-0.9435
"Clf Zeros ""V13""",-0.9435
"Clf Zeros ""V14""",-0.9435
"Clf Zeros ""V15""",-0.9435
"Clf Zeros ""V16""",-0.9435
"Clf Zeros ""V17""",-0.9435
"Clf Zeros ""V18""",-0.9435
"Clf Zeros ""V19""",-0.9435
"Clf Zeros ""V20""",-0.9435
"Clf Ordernation_Up ""V1""",-0.9435
"Clf Ordernation_Up ""V2""",-0.9435
"Clf Ordernation_Up ""V3""",-0.9435
"Clf Ordernation_Up ""V4""",-0.9435
"Clf Ordernation_Up ""V5""",-0.9435
"Clf Ordernation_Up ""V6""",-0.9435
"Clf Ordernation_Up ""V7""",-0.9435
"Clf Ordernation_Up ""V8""",-0.9435
"Clf Ordernation_Up ""V9""",-0.9435
"Clf Ordernation_Up ""V10""",-0.9435
"Clf Ordernation_Up ""V11""",-0.9435
"Clf Ordernation_Up ""V12""",-0.9435
"Clf Ordernation_Up ""V13""",-0.9435
"Clf Ordernation_Up ""V14""",-0.9435
"Clf Ordernation_Up ""V15""",-0.9435
"Clf Ordernation_Up ""V16""",-0.9435
"Clf Ordernation_Up ""V17""",-0.9435
"Clf Ordernation_Up ""V18""",-0.9435
"Clf Ordernation_Up ""V19""",-0.9435
"Clf Ordernation_Up ""V20""",-0.9435
"Clf Invertion ""V1""",-0.9435
"Clf Invertion ""V2""",-0.9435
"Clf Invertion ""V3""",-0.9435
"Clf Invertion ""V4""",-0.9435
"Clf Invertion ""V5""",-0.9435
"Clf Invertion ""V6""",-0.9435
"Clf Invertion ""V7""",-0.9435
"Clf Invertion ""V8""",-0.9435
"Clf Invertion ""V9""",-0.9435
"Clf Invertion ""V10""",-0.9435
"Clf Invertion ""V11""",-0.9435
"Clf Invertion ""V12""",-0.9435
"Clf Invertion ""V13""",-0.9435
"Clf Invertion ""V14""",-0.9435
"Clf Invertion ""V15""",-0.9435
"Clf Invertion ""V16""",-0.9435
"Clf Invertion ""V17""",-0.9435
"Clf Invertion ""V18""",-0.9435
"Clf Invertion ""V19""",-0.9435
"Clf Invertion ""V20""",-0.9435
"Clf Std ""V1""",-0.9435
"Clf Std ""V2""",-0.9435
"Clf Std ""V3""",-0.9435
"Clf Std ""V4""",-0.9435
"Clf Std ""V5""",-0.9435
"Clf Std ""V6""",-0.9435
"Clf Std ""V7""",-0.9435
"Clf Std ""V8""",-0.9435
"Clf Std ""V9""",-0.9435
"Clf Std ""V10""",-0.9435
"Clf Std ""V11""",-0.9435
"Clf Std ""V12""",-0.9435
"Clf Std ""V13""",-0.9435
"Clf Std ""V14""",-0.9435
"Clf Std ""V15""",-0.9435
"Clf Std ""V16""",-0.9435
"Clf Std ""V17""",-0.9435
"Clf Std ""V18""",-0.9435
"Clf Std ""V19""",-0.9435
"Clf Std ""V20""",-0.9435
"Clf Zscore ""V1""",-0.9435
"Clf Zscore ""V2""",-0.9435
"Clf Zscore ""V3""",-0.9435
"Clf Zscore ""V4""",-0.9435
"Clf Zscore ""V5""",-0.9435
