Clf,Score
"Clf Ordernation_Up ""start""",-46.295999999999985
"Clf MultNeg ""start""",38.0
"Clf Invertion ""start""",57.0
"Clf Binning ""start""",78.0
"Clf Zeros ""start""",78.0
"Clf Std ""start""",78.0
"Clf Zscore ""start""",102.0
Clf original data,114.57665267834656
"Clf MultNeg ""end""",114.57665267834656
"Clf MultNeg ""event""",114.57665267834656
"Clf MultNeg ""size""",114.57665267834656
"Clf Binning ""end""",114.57665267834656
"Clf Binning ""event""",114.57665267834656
"Clf Binning ""size""",114.57665267834656
"Clf Zeros ""end""",114.57665267834656
"Clf Zeros ""event""",114.57665267834656
"Clf Zeros ""size""",114.57665267834656
"Clf Ordernation_Up ""end""",114.57665267834656
"Clf Ordernation_Up ""event""",114.57665267834656
"Clf Ordernation_Up ""size""",114.57665267834656
"Clf Invertion ""end""",114.57665267834656
"Clf Invertion ""event""",114.57665267834656
"Clf Invertion ""size""",114.57665267834656
"Clf Std ""end""",114.57665267834656
"Clf Std ""event""",114.57665267834656
"Clf Std ""size""",114.57665267834656
"Clf Zscore ""end""",114.57665267834656
"Clf Zscore ""event""",114.57665267834656
"Clf Zscore ""size""",114.57665267834656
