Clf,Score
"Clf Ordernation_Up ""start""",-26.1145
"Clf MultNeg ""start""",58.1815
"Clf Invertion ""start""",77.18150000000004
"Clf Binning ""start""",98.18150000000003
"Clf Zeros ""start""",98.18150000000003
"Clf Std ""start""",98.18150000000003
"Clf Zscore ""start""",122.18150000000001
Clf original data,134.75815267834656
"Clf MultNeg ""end""",134.75815267834656
"Clf MultNeg ""event""",134.75815267834656
"Clf MultNeg ""size""",134.75815267834656
"Clf Binning ""end""",134.75815267834656
"Clf Binning ""event""",134.75815267834656
"Clf Binning ""size""",134.75815267834656
"Clf Zeros ""end""",134.75815267834656
"Clf Zeros ""event""",134.75815267834656
"Clf Zeros ""size""",134.75815267834656
"Clf Ordernation_Up ""end""",134.75815267834656
"Clf Ordernation_Up ""event""",134.75815267834656
"Clf Ordernation_Up ""size""",134.75815267834656
"Clf Invertion ""end""",134.75815267834656
"Clf Invertion ""event""",134.75815267834656
"Clf Invertion ""size""",134.75815267834656
"Clf Std ""end""",134.75815267834656
"Clf Std ""event""",134.75815267834656
"Clf Std ""size""",134.75815267834656
"Clf Zscore ""end""",134.75815267834656
"Clf Zscore ""event""",134.75815267834656
"Clf Zscore ""size""",134.75815267834656
