Clf,Theta
Clf original data,0.837
"Clf MultNeg ""start""",23914740.571208276
"Clf MultNeg ""end""",0.837
"Clf MultNeg ""event""",0.837
"Clf MultNeg ""size""",0.837
"Clf Binning ""start""",23914740.571208276
"Clf Binning ""end""",0.837
"Clf Binning ""event""",0.837
"Clf Binning ""size""",0.837
"Clf Zeros ""start""",23914740.571208276
"Clf Zeros ""end""",0.837
"Clf Zeros ""event""",0.837
"Clf Zeros ""size""",0.837
"Clf Ordernation_Up ""start""",-21758348.395878103
"Clf Ordernation_Up ""end""",0.837
"Clf Ordernation_Up ""event""",0.837
"Clf Ordernation_Up ""size""",0.837
"Clf Invertion ""start""",23914740.571208276
"Clf Invertion ""end""",0.837
"Clf Invertion ""event""",0.837
"Clf Invertion ""size""",0.837
"Clf Std ""start""",23914740.571208276
"Clf Std ""end""",0.837
"Clf Std ""event""",0.837
"Clf Std ""size""",0.837
"Clf Zscore ""start""",23914740.571208276
"Clf Zscore ""end""",0.837
"Clf Zscore ""event""",0.837
"Clf Zscore ""size""",0.837
