Metodo,Acuracia
Clf original data,1.0
"Clf MultNeg ""id""",1.0
"Clf MultNeg ""start""",0.5359477124183006
"Clf MultNeg ""end""",1.0
"Clf MultNeg ""event""",1.0
"Clf MultNeg ""size""",1.0
"Clf Binning ""id""",1.0
"Clf Binning ""start""",0.6993464052287581
"Clf Binning ""end""",1.0
"Clf Binning ""event""",1.0
"Clf Binning ""size""",1.0
"Clf Zeros ""id""",1.0
"Clf Zeros ""start""",0.6993464052287581
"Clf Zeros ""end""",1.0
"Clf Zeros ""event""",1.0
"Clf Zeros ""size""",1.0
"Clf Ordernation_Up ""id""",1.0
"Clf Ordernation_Up ""start""",0.6339869281045751
"Clf Ordernation_Up ""end""",1.0
"Clf Ordernation_Up ""event""",1.0
"Clf Ordernation_Up ""size""",1.0
"Clf Invertion ""id""",1.0
"Clf Invertion ""start""",0.5555555555555556
"Clf Invertion ""end""",1.0
"Clf Invertion ""event""",1.0
"Clf Invertion ""size""",1.0
"Clf Std ""id""",1.0
"Clf Std ""start""",0.6993464052287581
"Clf Std ""end""",1.0
"Clf Std ""event""",1.0
"Clf Std ""size""",1.0
"Clf Zscore ""id""",1.0
"Clf Zscore ""start""",0.6993464052287581
"Clf Zscore ""end""",1.0
"Clf Zscore ""event""",1.0
"Clf Zscore ""size""",1.0
