Clf,Score
"Clf MultNeg ""V4""",14.0
"Clf Std ""V4""",34.0
"Clf Ordernation_Up ""V4""",42.0
"Clf Invertion ""V4""",42.0
"Clf Zeros ""V4""",48.0
"Clf Std ""V1""",48.0
"Clf Invertion ""V1""",66.0
"Clf Ordernation_Up ""V1""",72.0
"Clf Binning ""V1""",76.0
"Clf Binning ""V4""",78.0
"Clf MultNeg ""V1""",81.0
"Clf Zscore ""V1""",81.0
"Clf Zscore ""V4""",81.0
Clf original data,81.74431756091046
"Clf MultNeg ""V2""",81.74431756091046
"Clf MultNeg ""V3""",81.74431756091046
"Clf MultNeg ""V5""",81.74431756091046
"Clf Binning ""V2""",81.74431756091046
"Clf Binning ""V3""",81.74431756091046
"Clf Binning ""V5""",81.74431756091046
"Clf Zeros ""V2""",81.74431756091046
"Clf Zeros ""V3""",81.74431756091046
"Clf Zeros ""V5""",81.74431756091046
"Clf Ordernation_Up ""V2""",81.74431756091046
"Clf Ordernation_Up ""V3""",81.74431756091046
"Clf Ordernation_Up ""V5""",81.74431756091046
"Clf Invertion ""V2""",81.74431756091046
"Clf Invertion ""V3""",81.74431756091046
"Clf Invertion ""V5""",81.74431756091046
"Clf Std ""V2""",81.74431756091046
"Clf Std ""V3""",81.74431756091046
"Clf Std ""V5""",81.74431756091046
"Clf Zscore ""V2""",81.74431756091046
"Clf Zscore ""V3""",81.74431756091046
"Clf Zscore ""V5""",81.74431756091046
"Clf Zeros ""V1""",82.0
