Clf,Score
"Clf MultNeg ""V4""",35.797999999999995
"Clf Std ""V4""",55.79799999999999
"Clf Ordernation_Up ""V4""",63.79799999999999
"Clf Invertion ""V4""",63.79799999999999
"Clf Invertion ""V1""",67.79799999999997
"Clf Zeros ""V4""",69.79799999999999
"Clf Std ""V1""",69.79799999999999
"Clf Binning ""V1""",70.79799999999997
"Clf Zeros ""V1""",74.79799999999999
"Clf Ordernation_Up ""V1""",81.798
"Clf MultNeg ""V1""",86.798
"Clf Zscore ""V1""",98.79799999999999
"Clf Binning ""V4""",99.798
"Clf Zscore ""V4""",102.79799999999997
Clf original data,116.1168921857609
"Clf MultNeg ""V2""",116.1168921857609
"Clf MultNeg ""V3""",116.1168921857609
"Clf MultNeg ""V5""",116.1168921857609
"Clf Binning ""V2""",116.1168921857609
"Clf Binning ""V3""",116.1168921857609
"Clf Binning ""V5""",116.1168921857609
"Clf Zeros ""V2""",116.1168921857609
"Clf Zeros ""V3""",116.1168921857609
"Clf Zeros ""V5""",116.1168921857609
"Clf Ordernation_Up ""V2""",116.1168921857609
"Clf Ordernation_Up ""V3""",116.1168921857609
"Clf Ordernation_Up ""V5""",116.1168921857609
"Clf Invertion ""V2""",116.1168921857609
"Clf Invertion ""V3""",116.1168921857609
"Clf Invertion ""V5""",116.1168921857609
"Clf Std ""V2""",116.1168921857609
"Clf Std ""V3""",116.1168921857609
"Clf Std ""V5""",116.1168921857609
"Clf Zscore ""V2""",116.1168921857609
"Clf Zscore ""V3""",116.1168921857609
"Clf Zscore ""V5""",116.1168921857609
