Clf,Theta
Clf original data,2.3295
"Clf MultNeg ""V1""",27963540.398449417
"Clf MultNeg ""V2""",2.3295
"Clf MultNeg ""V3""",2.3295
"Clf MultNeg ""V4""",27963540.398449417
"Clf MultNeg ""V5""",2.3295
"Clf Binning ""V1""",27963540.398449417
"Clf Binning ""V2""",2.3295
"Clf Binning ""V3""",2.3295
"Clf Binning ""V4""",27963540.398449417
"Clf Binning ""V5""",2.3295
"Clf Zeros ""V1""",27963540.398449417
"Clf Zeros ""V2""",2.3295
"Clf Zeros ""V3""",2.3295
"Clf Zeros ""V4""",27963540.398449417
"Clf Zeros ""V5""",2.3295
"Clf Ordernation_Up ""V1""",27963540.398449417
"Clf Ordernation_Up ""V2""",2.3295
"Clf Ordernation_Up ""V3""",2.3295
"Clf Ordernation_Up ""V4""",27963540.398449417
"Clf Ordernation_Up ""V5""",2.3295
"Clf Invertion ""V1""",27963540.398449417
"Clf Invertion ""V2""",2.3295
"Clf Invertion ""V3""",2.3295
"Clf Invertion ""V4""",27963540.398449417
"Clf Invertion ""V5""",2.3295
"Clf Std ""V1""",27963540.398449417
"Clf Std ""V2""",2.3295
"Clf Std ""V3""",2.3295
"Clf Std ""V4""",27963540.398449417
"Clf Std ""V5""",2.3295
"Clf Zscore ""V1""",27963540.398449417
"Clf Zscore ""V2""",2.3295
"Clf Zscore ""V3""",2.3295
"Clf Zscore ""V4""",27963540.398449417
"Clf Zscore ""V5""",2.3295
