,Discriminacao,Dificuldade,Adivinhacao
V0,30.436,0.013,0.167
V1,-1.707,2.496,0.0
V2,30.435,0.013,0.167
V3,-32.698,1.684,0.0
V4,0.0,-81548356.597,0.05
V5,45.034,-1.707,0.0
V6,-25.021,3.112,0.0
V7,45.051,-1.707,0.0
V8,1.187,-0.455,0.334
V9,61.657,-1.704,0.333
V10,43.523,-2.396,0.0
V11,-32.717,1.684,0.0
V12,45.082,-1.707,0.0
V13,64.205,0.334,0.25
V14,-1.707,2.496,0.0
V15,0.0,-81605318.134,0.051
V16,0.0,-81662358.828,0.051
V17,0.0,-81719479.794,0.052
V18,43.575,-2.396,0.0
V19,0.0,-81776680.725,0.053
V20,0.0,-81833961.789,0.053
V21,0.0,-81891323.156,0.054
V22,0.0,-81948764.993,0.055
V23,0.0,-82006287.472,0.055
V24,0.825,-3.608,0.0
V25,0.0,-82063890.761,0.056
V26,64.197,0.334,0.25
V27,43.601,-2.396,0.0
V28,61.616,-1.704,0.333
V29,-78.465,0.979,0.0
V30,43.626,-2.396,0.0
V31,-35.968,2.388,0.0
V32,45.143,-1.706,0.0
V33,0.0,-82121575.03,0.057
V34,-3.117,1.493,0.0
V35,0.0,-82179340.452,0.057
V36,0.0,-82237187.196,0.058
V37,1.132,-2.345,0.028
V38,45.158,-1.706,0.0
V39,45.173,-1.706,0.0
V40,30.434,0.013,0.167
V41,39.852,0.028,0.333
V42,0.0,-82295115.436,0.059
V43,0.0,-82353125.343,0.059
V44,-2.411,1.875,0.0
V45,0.0,-82411214.674,0.06
V46,-2.411,1.875,0.0
V47,0.0,-82469388.433,0.061
V48,45.187,-1.706,0.0
V49,40.26,0.027,0.333
V50,-2.411,1.875,0.0
V51,0.0,-82527644.379,0.061
V52,43.749,-2.397,0.0
V53,-1.082,3.659,0.0
V54,59.264,-0.323,0.333
V55,40.253,0.027,0.333
V56,45.216,-1.706,0.0
V57,61.576,-1.705,0.333
V58,43.796,-2.397,0.0
V59,59.26,-0.323,0.333
V60,56.304,-0.308,0.167
V61,0.533,-1.787,0.0
V62,-1.142,2.727,0.0
V63,0.0,-82585982.687,0.062
V64,43.82,-2.397,0.0
V65,56.312,-0.308,0.167
V66,0.0,-82644403.531,0.063
V67,1.133,-2.341,0.03
V68,0.0,-82702907.087,0.063
V69,-1.867,1.71,0.0
V70,0.0,-82761493.53,0.064
V71,45.258,-1.706,0.0
V72,43.866,-2.397,0.0
V73,0.0,-82820163.037,0.065
V74,0.0,-82878915.784,0.065
V75,45.285,-1.706,0.0
V76,-1.574,2.054,0.0
V77,31.136,0.013,0.167
V78,43.911,-2.397,0.0
V79,0.0,-82937751.949,0.066
V80,56.32,-0.308,0.167
V81,-1.707,2.496,0.0
V82,40.246,0.027,0.333
V83,43.933,-2.397,0.0
V84,0.991,-1.562,0.0
V85,0.0,-82996671.71,0.067
V86,61.537,-1.706,0.333
V87,0.0,-83055673.759,0.067
V88,1.481,-0.574,0.185
V89,61.098,0.194,0.5
V90,0.0,-83114761.245,0.068
V91,73.277,-1.019,0.25
V92,67.16,-0.41,0.5
V93,64.174,-0.978,0.25
V94,61.13,-0.395,0.333
V95,61.127,-0.395,0.333
V96,-1.142,2.727,0.0
V97,67.096,-0.41,0.5
V98,0.0,-83173932.863,0.069
V99,0.0,-83233230.872,0.069
V100,0.0,-83292571.324,0.07
V101,0.0,-83351996.449,0.071
V102,-1.575,2.054,0.0
V103,-1.574,2.054,0.0
V104,44.865,0.025,0.333
V105,0.505,-3.437,0.0
V106,0.0,-83411506.428,0.071
V107,57.913,-0.977,0.0
V108,64.153,-0.978,0.25
V109,64.144,-0.979,0.25
V110,67.034,-0.41,0.5
V111,1.488,-0.878,0.275
V112,-1.575,2.054,0.0
V113,-1.574,2.055,0.0
V114,61.124,-0.394,0.333
V115,44.838,0.025,0.333
V116,64.135,-0.979,0.25
V117,58.032,-0.977,0.0
V118,58.101,-0.925,0.5
V119,61.121,-0.394,0.333
V120,0.0,-83471101.443,0.072
V121,0.0,-83530781.677,0.073
V122,0.0,-83590492.838,0.073
V123,0.799,-2.233,0.0
V124,58.885,-0.925,0.5
V125,-1.866,1.71,0.0
V126,0.0,-83650344.019,0.074
V127,64.118,-0.979,0.25
V128,64.111,-0.979,0.25
V129,64.104,-0.979,0.25
V130,64.097,-0.979,0.25
V131,0.0,-83710280.969,0.075
V132,59.653,-0.925,0.5
V133,60.365,-0.925,0.5
V134,0.0,-83770303.873,0.075
V135,64.091,-0.98,0.25
V136,65.513,0.33,0.25
V137,70.823,0.323,0.375
V138,-1.707,2.496,0.0
V139,-2.411,1.875,0.0
V140,0.0,-83830412.915,0.076
V141,60.985,-0.924,0.5
V142,-1.708,2.496,0.0
V143,-1.707,2.496,0.0
V144,-1.706,2.496,0.0
V145,-35.97,2.388,0.0
V146,-2.411,1.875,0.0
V147,64.085,-0.98,0.25
V148,0.0,-83890608.281,0.076
V149,58.237,-0.977,0.0
V150,70.794,0.323,0.375
V151,58.266,-0.977,0.0
