Metodo,Acuracia
Clf original data,1.0
"Clf MultNeg ""V1""",0.8881578947368421
"Clf MultNeg ""V2""",1.0
"Clf MultNeg ""V3""",1.0
"Clf MultNeg ""V4""",0.5526315789473685
"Clf MultNeg ""V5""",1.0
"Clf Binning ""V1""",0.7828947368421053
"Clf Binning ""V2""",1.0
"Clf Binning ""V3""",1.0
"Clf Binning ""V4""",0.9736842105263158
"Clf Binning ""V5""",1.0
"Clf Zeros ""V1""",0.8092105263157895
"Clf Zeros ""V2""",1.0
"Clf Zeros ""V3""",1.0
"Clf Zeros ""V4""",0.7763157894736842
"Clf Zeros ""V5""",1.0
"Clf Ordernation_Up ""V1""",0.8552631578947368
"Clf Ordernation_Up ""V2""",1.0
"Clf Ordernation_Up ""V3""",1.0
"Clf Ordernation_Up ""V4""",0.7368421052631579
"Clf Ordernation_Up ""V5""",1.0
"Clf Invertion ""V1""",0.7631578947368421
"Clf Invertion ""V2""",1.0
"Clf Invertion ""V3""",1.0
"Clf Invertion ""V4""",0.7368421052631579
"Clf Invertion ""V5""",1.0
"Clf Std ""V1""",0.7763157894736842
"Clf Std ""V2""",1.0
"Clf Std ""V3""",1.0
"Clf Std ""V4""",0.6842105263157895
"Clf Std ""V5""",1.0
"Clf Zscore ""V1""",0.9671052631578947
"Clf Zscore ""V2""",1.0
"Clf Zscore ""V3""",1.0
"Clf Zscore ""V4""",0.993421052631579
"Clf Zscore ""V5""",1.0
